field,value
Series_sample_id,GSM5288808
Series_sample_id,GSM5288809
Series_sample_id,GSM5288810
Series_sample_id,GSM5288811
Series_sample_id,GSM5288812
Series_sample_id,GSM5288813
Series_sample_id,GSM5288814
Series_sample_id,GSM5288815
Series_contact_name,"Yang,,Sun"
Series_contact_email,yang.sun@ucsf.edu
Series_contact_laboratory,Ye
Series_contact_department,Rheumatology
Series_contact_institute,UCSF
Series_contact_address,513 Parnassus Ave
Series_contact_city,San Francisco
Series_contact_state,CA
Series_contact_zip/postal_code,94143
Series_contact_country,USA
Series_platform_id,GPL24676
Series_platform_taxid,9606
Series_sample_taxid,9606
Series_relation,BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA728702
