geo_accession,title,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,10x_well,cell_type,molecule,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,supplementary_file_1,series_id,data_row_count
GSM5288738,CLUES1-POOL03-3,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,3,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288739,CLUES1-POOL03-4,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,4,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288740,CLUES1-POOL04-1,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,1,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288741,CLUES1-POOL04-2,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,2,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288742,CLUES1-POOL04-3,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,3,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288743,CLUES1-POOL04-4,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,4,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288744,CLUES1-POOL05-1,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,1,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288745,CLUES1-POOL05-2,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,2,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288746,CLUES1-POOL05-3,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,3,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
GSM5288747,CLUES1-POOL05-4,Public on Dec 01 2021,May 10 2021,Jan 30 2025,SRA,1,PBMC,Homo sapiens,9606,4,PBMC,RNA,total RNA,"10% of the barcoded cDNA from the 10X workflow was further amplified with Template switch oligo (TSO) primer and the Truseq Read 1 primer with KAPA HiFi hotstart readymix (Kapa Biosystems, Thermo Fisher Scientific) for 12 cycles at the conditions 98°C for 15 seconds, 67°C for 20 seconds and 72°C for 1 minute. A pool of forward Valpha and Vbeta primers containing the Illumina read 2 primer sequence were used in conjunction with the Truseq Read 1 primer to amplify CDR3 sequences from the TCR alpha and beta loci with NEBNext Ultra II Q5 Master Mix (New England Biolabs Inc.) for 25 cycles at the conditions 98°C for 10 seconds, 68°C for 30 seconds and 72°C for 1 minute. An additional amplification step using primers containing the Illumina P5 adapter, i5 index sequences and Truseq Read 1 primer sequence with the Illumina P7 adapter, i7 index sequences and Truseq Read 2 with NEBNext Ultra II Q5 Master Mix was carried out for 8 cycles at the conditions 98°C for 15 seconds and 72°C for 1 minute and 20 seconds to create final TCR libraries for sequencing.",Genome_build: hg19,GPL24676,"Yang,,Sun",yang.sun@ucsf.edu,Ye,Rheumatology,UCSF,513 Parnassus Ave,San Francisco,CA,94143,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,NONE,GSE174188,0
